root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√akkh	1	a	see	√akṣ	1	attain	√akkh		sākṣāt, akṣi, akṣika, sākṣin, sākṣāt, sākṣin, akṣa
√akkh	1	a	see	√akṣ	1	attain	pati √akkh		apratyakṣa, prātyakṣa
√agg	1	a	move crookedly	√ag	1	move tortuously	√agg		agni, āgnika, agninā
√agg	1	a	move crookedly	√ag	1	move tortuously	pati √agg		? + agni
√aggh	1	a	be worth	√argh √arh	1	be worth	√aggh		arhayat, argha, arghya?, arghya, argha + āpaṇaka, na + arghati, arghati
√aggh	1	a	be worth	√argh √arh	1	be worth	pati √aggh		
√aṅg	1	a	walk	√aṅg	1	move	√aṅg		aṅgaṇa
√aṅg	1	a	walk	√aṅg	1	move	ud √aṅg		
√acc 1	1	a	shine, praise	√arc	1	shine, praise	√acc		arcanā, arcanam, arciṣmat, arcita (honoured), arci
√acc 2	8	*e	worship	√arc	1	shine, praise	√acc		arcita (honoured)
√aj	1	a	go, drive	√aj	1	drive	√aj		ajira, ajina, aja, ajikā, ajā
√aj	1	ya	go, drive	√aj	1	drive	nī √aj		nirajyate
√aj	1	a	go, drive	√aj	1	drive	pa √aj		pra + ajati, prājana
√aj	1	a	go, drive	√aj	1	drive	saṃ √aj		samāja
√añc	1	a	bend	√añc √ac	1	bend	√añc		aṅgulī, aṅkayitvā, akta, aṅka, aṅgulīyaka, aṅkura, aṅguṣṭha, aṅgula, + aṅkuśa, aṅkuśa
√añc	1	a	bend	√añc √ac	1	bend	ati √añc		aṅkuśa
√añc	1	a	bend	√añc √ac	1	bend	pari √añc		palyaṅka, palyaṅkena
√añch	1	a	extend, draw along	√āñch	1	tear	√añch		āñchat, ākarṣati, ākṛṣ
√añch	1	a	extend, draw along	√āñch	1	tear	ā vi √añch		āvañcati, na + āvañcati
√añch	1	a	extend, draw along	√āñch	1	tear	saṃ √añch		saṃ + āñchat, saṃ + āñchati
√añj 1	8	*e	distinguish	√añj	7	anoint	√añj	añj	aṅgaka, aṅgāḥ (< aṅga), aṅganā, aṅgaka, aṅgin, aṅga +, aṅga, aṅgin, aṅgaṇa
√añj 1	8	*e	distinguish	√añj	7	anoint	anu vi √añj		anuvyañjana, anuvyañjanāt
