word	pos	position	type	exceptions	notes
akanta	any	first	kammadhāraya		
agga	adj	last	kammadhāraya	ekagga 1, ekagga 3	
agga	nt	last	chaṭṭhī tappurisa	uttamadhanagga, uposathagga, ekagga 2, dhammassavanagga, bhattagga, yadagga, yāgagga, vihāragga, salākagga, seyyagga	
aggi	masc	last	pañcamī tappurisa	āhuneyyaggi, kāyaggi, gahapataggi	
aṅga	adj	last	kammadhāraya > bahubbīhi	navaṅga, pañcaṅga 2, maṇikanakabhūsitaṅga	
ajjhatta	any	first	kammadhāraya	ajjhattabahiddha, ajjhattabahiddhārūpa, ajjhattabāhira	
añña	noun	first	kammadhāraya	aññamokkha, aññavihitatā	
aññatara	adj	first	kammadhāraya		
aṭṭa	adj	last	tatiyā tappurisa	avedanāṭṭa	
aṭṭha	adj	last	kammadhāraya > bahubbīhi	ekaṭṭha 2.1	
aṭṭha	masc	last	kammadhāraya	aḍḍhaṭṭha	having the meaning, iti
aṭṭha	noun	first	digu	aṭṭhakathā, aṭṭhaguṇaṃ, aṭṭhaṅgasusamāgata, aṭṭhaṅgulapādaka, aṭṭhacattālīsā, aṭṭhatiṃsati, aṭṭhatiṃsā, aṭṭhadosavimuttatta, aṭṭhapaccayavārā, aṭṭhavīsa, aṭṭhavīsati, aṭṭhasata, aṭṭhasama, aṭṭhasālinī, aṭṭhārasa 1, aṭṭhārasa 2, aṭṭhissara, aṭṭhuppatti, aṭṭhusabhagāmī, asīti 1.1, āsītika 1, āsītika 2	eights
aṭṭhika	adj	last	dutiyā tappurisa	setaṭṭhika	
aṭṭhika	nt	last	chaṭṭhī tappurisa	setaṭṭhika	
aḍḍha	any	first	chaṭṭhī tappurisa	aḍḍhakumbhūpama, aḍḍhakula, aḍḍhakosakāhāra, aḍḍhaṭṭhama, aḍḍhateyya, aḍḍhatelasa, aḍḍhamāsikaṃ, aḍḍhullikhita, aḍḍhaṭṭha, aḍḍharatanika	
atiga	adj	last	dutiyā tappurisa		
atireka	adj	first	pañcamī tappurisa		
atireka	ind	first	abyayībhāva		
atireka	noun	first	pañcamī tappurisa	atirekacīvara, atirekacīvarakathā, atirekapatta, atirekapada, atirekapūjā, atirekabhāga, atirekalābha	
attha	any	last	chaṭṭhī tappurisa		
attha	ind	middle	chaṭṭhī tappurisa		
attha	masc	last	chaṭṭhī tappurisa	aññadattha, atītattha 2, anāgatattha 2.1, abhūtattha, balattha 2, bahuttha	
attha + aṃ	ind	last	chaṭṭhī tappurisa > abyayībhāva	abbhatthaṃ, yāvadatthaṃ	
atthika	adj	last	tatiyā tappurisa	sabbatthika, mahatthika	
atthiya	adj	last	chaṭṭhī tappurisa	mahatthiya	
